Time,Fut_LTP,VWAP,Vol_Ratio,Trend,Strike,Opt_Type,Opt_LTP,OI_Chg,Signal,PnL
12:50:19,25998.5,26001.56,0.51,BEARISH,26000,PE,102.8,270.25,WAIT,0.0
12:50:22,25998.5,26001.56,0.59,BEARISH,26000,PE,103.2,270.25,WAIT,0.0
12:50:25,26000.0,26001.57,0.66,BEARISH,26000,PE,103.25,270.25,WAIT,0.0
12:50:29,26000.0,26001.57,0.66,BEARISH,26000,PE,103.15,270.25,WAIT,0.0
12:50:32,26000.0,26001.57,0.66,BEARISH,26000,PE,103.0,270.25,WAIT,0.0
12:50:35,26000.0,26001.57,0.66,BEARISH,26000,PE,103.25,270.25,WAIT,0.0
12:50:37,26000.0,26001.57,0.66,BEARISH,26000,PE,103.35,270.25,WAIT,0.0
12:50:40,26000.0,26001.57,0.67,BEARISH,26000,PE,103.5,270.25,WAIT,0.0
12:50:43,25998.5,26001.55,0.69,BEARISH,26000,PE,103.95,270.25,WAIT,0.0
12:50:46,25998.5,26001.55,0.69,BEARISH,26000,PE,103.85,270.25,WAIT,0.0
12:50:49,26000.0,26001.56,0.75,BEARISH,26000,PE,103.35,270.25,WAIT,0.0
12:50:51,26000.0,26001.56,0.75,BEARISH,26000,PE,103.65,270.25,WAIT,0.0
12:50:54,26000.0,26001.56,0.75,BEARISH,26000,PE,104.1,270.25,WAIT,0.0
12:50:56,26000.0,26001.56,0.75,BEARISH,26000,PE,105.0,270.25,WAIT,0.0
12:50:58,26000.0,26001.56,0.75,BEARISH,26000,PE,105.35,270.25,WAIT,0.0
12:51:01,26000.0,26001.56,0.75,BEARISH,26000,PE,105.0,270.25,WAIT,0.0
12:51:03,26000.0,26001.93,0.75,BEARISH,26000,PE,104.25,270.25,WAIT,0.0
12:51:05,26000.0,26001.93,0.75,BEARISH,26000,PE,104.1,270.25,WAIT,0.0
12:51:08,26000.0,26001.93,0.75,BEARISH,26000,PE,104.0,270.25,WAIT,0.0
12:51:10,26000.0,26001.93,0.75,BEARISH,26000,PE,104.2,270.25,WAIT,0.0
12:51:12,25998.0,26001.92,0.03,BEARISH,26000,PE,104.05,270.25,WAIT,0.0
12:51:15,25998.0,26001.92,0.03,BEARISH,26000,PE,104.0,270.25,WAIT,0.0
12:51:17,26000.0,26001.91,0.15,BEARISH,26000,PE,103.65,270.25,WAIT,0.0
12:51:20,25996.5,26001.89,0.18,BEARISH,26000,PE,103.75,270.25,WAIT,0.0
12:51:23,25996.5,26001.89,0.18,BEARISH,26000,PE,104.1,270.25,WAIT,0.0
12:51:26,25996.5,26001.89,0.18,BEARISH,26000,PE,102.7,270.25,WAIT,0.0
12:51:29,25996.5,26001.89,0.18,BEARISH,26000,PE,102.45,270.25,WAIT,0.0
12:51:32,25996.5,26001.89,0.18,BEARISH,26000,PE,101.6,270.25,WAIT,0.0
12:51:35,26004.3,26001.92,0.2,BULLISH,26000,CE,61.1,80.74,WAIT,0.0
12:51:37,26004.9,26001.93,0.21,BULLISH,26000,CE,61.5,80.74,WAIT,0.0
12:51:40,26004.9,26001.93,0.21,BULLISH,26000,CE,61.4,80.74,WAIT,0.0
12:51:42,26005.0,26001.93,0.25,BULLISH,26000,CE,61.6,80.74,WAIT,0.0
12:51:45,26005.0,26001.93,0.25,BULLISH,26000,CE,61.7,80.74,WAIT,0.0
12:51:47,26004.3,26001.93,0.26,BULLISH,26000,CE,61.35,80.74,WAIT,0.0
12:51:49,26004.3,26001.93,0.26,BULLISH,26000,CE,61.5,80.74,WAIT,0.0
12:51:51,26004.3,26001.93,0.26,BULLISH,26000,CE,60.5,80.74,WAIT,0.0
12:51:54,26004.3,26001.93,0.28,BULLISH,26000,CE,60.55,80.74,WAIT,0.0
12:51:56,26004.3,26001.93,0.28,BULLISH,26000,CE,59.9,80.74,WAIT,0.0
12:51:58,26004.3,26001.93,0.28,BULLISH,26000,CE,60.1,80.74,WAIT,0.0
12:52:01,26004.3,26001.93,0.28,BULLISH,26000,CE,60.25,80.74,WAIT,0.0
12:52:03,26004.0,26002.0,0.09,BULLISH,26000,CE,60.25,80.74,WAIT,0.0
12:52:05,26004.0,26002.0,0.09,BULLISH,26000,CE,59.95,80.74,WAIT,0.0
12:52:08,26004.0,26002.0,0.09,BULLISH,26000,CE,60.0,80.74,WAIT,0.0
12:52:10,26004.0,26002.0,0.09,BULLISH,26000,CE,59.9,80.74,WAIT,0.0
12:52:13,26003.0,26001.99,0.09,BULLISH,26000,CE,58.95,80.74,WAIT,0.0
12:52:16,25999.9,26001.99,0.12,BEARISH,26000,PE,104.3,270.25,WAIT,0.0
12:52:18,25999.9,26001.99,0.12,BEARISH,26000,PE,103.65,270.25,WAIT,0.0
12:52:21,25999.9,26001.99,0.12,BEARISH,26000,PE,103.8,270.25,WAIT,0.0
12:52:24,25999.9,26001.99,0.12,BEARISH,26000,PE,103.5,270.25,WAIT,0.0
12:52:26,25999.9,26001.99,0.12,BEARISH,26000,PE,104.0,270.25,WAIT,0.0
12:52:28,25999.9,26001.99,0.12,BEARISH,26000,PE,103.65,270.25,WAIT,0.0
12:52:31,25999.0,26001.98,0.19,BEARISH,26000,PE,104.0,270.25,WAIT,0.0
12:52:33,25999.0,26001.98,0.22,BEARISH,26000,PE,103.4,270.25,WAIT,0.0
12:52:35,25998.2,26001.97,0.24,BEARISH,26000,PE,102.9,270.25,WAIT,0.0
12:52:38,26004.3,26001.99,0.27,BULLISH,26000,CE,59.9,80.74,WAIT,0.0
12:52:40,26004.3,26001.99,0.27,BULLISH,26000,CE,60.0,80.74,WAIT,0.0
12:52:42,26004.3,26001.99,0.27,BULLISH,26000,CE,60.4,80.74,WAIT,0.0
12:52:45,26004.3,26001.99,0.27,BULLISH,26000,CE,60.05,80.74,WAIT,0.0
12:52:47,26004.3,26001.99,0.27,BULLISH,26000,CE,60.25,80.74,WAIT,0.0
12:52:49,26004.3,26001.99,0.27,BULLISH,26000,CE,60.15,80.74,WAIT,0.0
12:52:52,26004.3,26001.99,0.27,BULLISH,26000,CE,60.25,80.74,WAIT,0.0
12:52:54,26004.3,26001.99,0.27,BULLISH,26000,CE,60.6,80.74,WAIT,0.0
12:52:57,26004.3,26001.99,0.27,BULLISH,26000,CE,60.95,80.74,WAIT,0.0
12:52:59,26004.3,26001.99,0.27,BULLISH,26000,CE,60.9,80.74,WAIT,0.0
12:53:01,26004.3,26001.99,0.27,BULLISH,26000,CE,61.0,79.86,WAIT,0.0
12:53:03,26000.5,nan,nan,BEARISH,26000,PE,101.45,260.87,WAIT,0.0
12:53:06,26000.5,26002.05,0.07,BEARISH,26000,PE,101.2,260.87,WAIT,0.0
12:53:08,26000.5,26002.05,0.07,BEARISH,26000,PE,101.8,260.87,WAIT,0.0
12:53:11,26000.5,26002.05,0.07,BEARISH,26000,PE,102.15,260.87,WAIT,0.0
12:53:13,26000.5,26002.05,0.07,BEARISH,26000,PE,103.05,260.87,WAIT,0.0
12:53:15,26000.5,26002.05,0.07,BEARISH,26000,PE,102.95,260.87,WAIT,0.0
12:53:17,25998.2,26002.05,0.07,BEARISH,26000,PE,103.35,260.87,WAIT,0.0
12:53:20,25998.2,26002.03,0.26,BEARISH,26000,PE,103.3,260.87,WAIT,0.0
12:53:23,25998.2,26002.03,0.26,BEARISH,26000,PE,103.6,260.87,WAIT,0.0
12:53:25,26003.3,26002.05,0.3,BULLISH,26000,CE,59.8,79.86,WAIT,0.0
12:53:27,26003.3,26002.05,0.3,BULLISH,26000,CE,59.45,79.86,WAIT,0.0
12:53:30,26003.3,26002.05,0.3,BULLISH,26000,CE,59.5,79.86,WAIT,0.0
12:53:32,26003.5,26002.05,0.3,BULLISH,26000,CE,59.85,79.86,WAIT,0.0
12:53:34,25998.0,26002.03,0.33,BEARISH,26000,PE,103.3,260.87,WAIT,0.0
12:53:36,25998.0,26002.03,0.33,BEARISH,26000,PE,103.05,260.87,WAIT,0.0
12:53:39,25998.0,26002.03,0.33,BEARISH,26000,PE,103.55,260.87,WAIT,0.0
12:53:41,25999.6,26002.03,0.35,BEARISH,26000,PE,103.05,260.87,WAIT,0.0
12:53:43,26000.2,26002.03,0.35,BEARISH,26000,PE,102.3,260.87,WAIT,0.0
12:53:46,25999.6,26002.03,0.4,BEARISH,26000,PE,102.8,260.87,WAIT,0.0
12:53:48,25999.6,26002.02,0.51,BEARISH,26000,PE,103.0,260.87,WAIT,0.0
12:53:50,25999.7,26002.02,0.55,BEARISH,26000,PE,102.7,260.87,WAIT,0.0
12:53:53,25999.7,26001.98,1.11,BEARISH,26000,PE,102.35,260.87,WAIT,0.0
12:53:55,25999.7,26001.98,1.11,BEARISH,26000,PE,102.1,260.87,WAIT,0.0
12:53:57,25999.7,26001.98,1.11,BEARISH,26000,PE,102.2,260.87,WAIT,0.0
12:54:00,25999.7,26001.98,1.11,BEARISH,26000,PE,102.7,260.87,WAIT,0.0
12:54:02,25999.4,26002.48,0.39,BEARISH,26000,PE,102.25,260.87,WAIT,0.0
12:54:04,26003.5,26002.51,0.48,BULLISH,26000,CE,60.9,79.86,WAIT,0.0
12:54:06,25999.9,26002.49,0.48,BEARISH,26000,PE,102.35,260.87,WAIT,0.0
12:54:09,25998.0,26002.44,0.95,BEARISH,26000,PE,102.45,260.87,WAIT,0.0
12:54:11,26000.0,26002.46,0.96,BEARISH,26000,PE,102.45,260.87,WAIT,0.0
12:54:13,25998.0,26002.44,0.96,BEARISH,26000,PE,103.25,260.87,WAIT,0.0
12:54:15,25999.8,26002.45,1.0,BEARISH,26000,PE,103.4,260.87,WAIT,0.0
12:54:18,25999.8,26002.45,1.0,BEARISH,26000,PE,103.15,260.87,WAIT,0.0
12:54:20,25999.1,26002.45,1.0,BEARISH,26000,PE,103.25,260.87,WAIT,0.0
12:54:22,25999.1,26002.45,1.02,BEARISH,26000,PE,103.5,260.87,WAIT,0.0
12:54:24,25999.1,26002.45,1.02,BEARISH,26000,PE,103.5,260.87,WAIT,0.0
12:54:27,25999.1,26002.45,1.02,BEARISH,26000,PE,103.15,260.87,WAIT,0.0
12:54:29,25999.1,26002.45,1.02,BEARISH,26000,PE,103.25,260.87,WAIT,0.0
12:54:31,25999.1,26002.45,1.02,BEARISH,26000,PE,103.25,260.87,WAIT,0.0
12:54:34,25999.1,26002.45,1.02,BEARISH,26000,PE,103.5,260.87,WAIT,0.0
12:54:36,25999.1,26002.45,1.02,BEARISH,26000,PE,103.65,260.87,WAIT,0.0
12:54:38,25999.1,26002.45,1.02,BEARISH,26000,PE,103.55,260.87,WAIT,0.0
12:54:41,25999.1,26002.45,1.02,BEARISH,26000,PE,103.5,260.87,WAIT,0.0
12:54:43,25999.1,26002.45,1.02,BEARISH,26000,PE,103.25,260.87,WAIT,0.0
12:54:45,25999.1,26002.45,1.02,BEARISH,26000,PE,103.15,260.87,WAIT,0.0
12:54:48,25999.1,26002.45,1.02,BEARISH,26000,PE,102.9,260.87,WAIT,0.0
12:54:50,25999.1,26002.45,1.02,BEARISH,26000,PE,103.0,260.87,WAIT,0.0
12:54:53,25999.1,26002.45,1.02,BEARISH,26000,PE,103.45,260.87,WAIT,0.0
12:54:56,25999.1,26002.45,1.02,BEARISH,26000,PE,103.75,260.87,WAIT,0.0
12:54:58,25999.1,26002.45,1.02,BEARISH,26000,PE,104.1,260.87,WAIT,0.0
12:55:00,25999.1,26002.45,1.02,BEARISH,26000,PE,104.3,260.87,WAIT,0.0
12:55:03,25998.3,26002.95,0.11,BEARISH,26000,PE,104.0,260.87,WAIT,0.0
